name,age,over_all_rating,nationality,club,best_over_rating,best_position,position,potential,height,weight,foot,growth,market_value,contract,cross,stamina,total_stats,base_stats,weak_foot,skill_moves,attack_work_rate,defence_work_rate,intl_reputation,pace,shooting,passing,dribbling,defense,physical,hits,phys_index,skill_index
P. Türpitz,28,67,Germany,SV Sandhausen,68,RM,CAM RW RM,67,155.45,73.94,Right,0,775000.0,0,62,77,1784,377,3,3,Medium,Medium,1,76,68,61,71,34,67,4,73.33,66.67
T. Baumgart,22,67,Germany,FC Erzgebirge Aue,68,RM,RM LM,75,155.75,73.94,Right,8,1100000.0,2,67,88,1650,358,3,2,Medium,Medium,1,74,58,59,66,33,68,7,76.67,61.0
F. Hansch,24,61,Germany,SV Sandhausen,66,RM,RB RM ST,66,182.88,76.2,Right,5,300000.0,0,54,77,1756,377,3,3,Medium,Medium,1,88,59,54,68,49,59,7,74.67,60.33
J. Lundstram,21,52,England,Crewe Alexandra,54,CM,CM,66,179.83,60.78,Right,14,110000.0,0,45,54,1457,313,2,2,Medium,Medium,1,64,43,49,54,49,54,3,57.33,48.67
Q. Maceiras B,24,67,Switzerland,BSC Young Boys,67,RB,RB RWB,74,155.75,74.84,Right,7,950000.0,3,61,80,1786,396,3,3,Medium,Medium,1,81,57,60,66,62,70,5,77.0,61.0
F. Vietto,21,62,Argentina,Patronato,63,ST,ST,72,155.45,66.22,Right,10,500000.0,0,42,62,1521,330,3,3,High,Medium,1,73,58,50,67,26,56,3,63.67,58.33
Alexandre Guedes,26,69,Portugal,Vegalta Sendai,71,ST,ST LW,71,185.93,83.01,Right,2,1300000.0,0,58,57,1590,346,3,3,Medium,Medium,1,61,68,59,66,22,70,7,62.67,64.33
J. Fehr,23,62,Germany,SG Sonnenhof Großaspach,61,LM,LM LB,65,179.83,69.85,Left,3,375000.0,0,62,70,1646,359,4,3,Medium,Medium,1,81,51,55,68,47,57,3,69.33,58.0
A. Livingstone,21,52,Scotland,Motherwell,53,LM,LB LM,66,155.75,69.85,Left,14,100000.0,1,63,39,1494,326,2,3,Medium,High,1,72,41,55,56,47,55,3,55.33,50.67
M. Fernández,31,69,Uruguay,Audax Italiano,69,CB,CB,69,155.75,78.93,Right,0,775000.0,0,30,62,1488,315,3,2,Medium,Medium,1,56,27,45,45,71,71,5,63.0,39.0
L. Wing,25,70,England,Middlesbrough,72,CAM,CM CAM,75,185.93,78.93,Right,5,2300000.0,1,64,75,1883,398,3,3,Medium,Medium,1,68,65,69,70,58,68,10,70.33,68.0
T. Lebeau,21,62,France,Chamois Niortais Football Club,64,CAM,CAM CDM,72,179.83,64.86,Right,10,500000.0,0,58,59,1672,360,3,2,High,Medium,1,72,54,64,65,57,48,4,59.67,61.0
T. Archibald,22,63,Scotland,Lincoln City,64,LM,RWB RM LWB,69,155.75,69.85,Left,6,450000.0,1,55,80,1744,378,4,3,High,Medium,1,75,62,57,64,55,65,4,73.33,61.0
Pedro Sá,26,73,Portugal,Portimonense SC,74,CDM,CDM CM,77,155.45,72.12,Left,4,4600000.0,2,43,90,1850,390,2,2,Medium,High,1,61,55,62,66,69,77,11,76.0,61.0
Wilson Manafá,25,75,Portugal,FC Porto,76,RWB,RB LB,78,179.83,68.95,Right,3,7500000.0,2,75,84,1951,424,4,3,High,Medium,1,85,60,67,76,68,68,53,79.0,67.67
Bruno Tabata,23,75,Brazil,Sporting CP,77,LM,RW LW,83,155.45,68.04,Left,8,10000000.0,4,74,74,1877,398,3,4,Medium,Low,1,79,67,71,80,40,61,108,71.33,72.67
Jadson,28,71,Brazil,Portimonense SC,72,CB,CB,72,188.98,83.91,Right,1,2300000.0,3,21,63,1466,318,2,2,Medium,High,1,61,30,40,40,72,75,3,66.33,36.67
Theo Ryuki,22,65,Japan,Portimonense SC,64,CAM,CAM LW,70,155.45,68.95,Right,5,725000.0,0,65,31,1606,335,2,3,Medium,Low,1,67,58,64,66,29,51,3,49.67,62.67
P. Pellegri,19,66,Italy,AS Monaco,68,ST,ST,74,188.98,79.83,Right,8,925000.0,1,50,55,1522,331,3,3,Medium,Medium,1,64,65,54,66,20,62,96,60.33,61.67
Dani Ojeda,25,67,Spain,CD Leganés,68,LM,LM RM,70,155.45,72.12,Right,3,950000.0,0,61,68,1676,362,4,3,Medium,Medium,1,70,64,60,68,39,61,7,66.33,64.0
J. Moreno,25,56,Nicaragua,Estudiantes de Mérida,60,ST,CAM ST,61,182.88,82.1,Right,5,120000.0,0,49,56,1513,332,3,3,High,Medium,1,70,55,50,59,32,66,5,64.0,54.67
Matheus Aias,23,67,Brazil,Orlando City SC,69,ST,ST,75,179.83,72.12,Right,8,1100000.0,1,31,60,1564,341,5,2,Medium,Medium,1,71,66,49,69,26,60,13,63.67,61.33
Conrado,23,65,Brazil,Lechia Gdańsk,66,LM,LM,73,176.78,72.12,Left,8,800000.0,1,59,64,1665,361,3,3,High,Medium,1,80,53,58,66,54,50,3,64.67,59.0
E. Demirović,22,70,Bosnia Herzegovina,SC Freiburg,72,ST,ST,81,185.93,79.83,Right,11,3100000.0,2,63,67,1716,372,3,2,Medium,Medium,1,66,72,58,66,37,73,61,68.67,65.33
J. Pantemis,22,59,Canada,Montreal Impact,59,GK,GK,66,192.02,78.93,Right,7,170000.0,0,14,34,926,328,2,1,Medium,Medium,1,61,56,59,59,35,58,3,51.0,58.0
J. Córdova,25,60,Canada,CD Huachipato,60,RB,RB LB,65,167.64,63.05,Right,5,240000.0,0,56,64,1567,336,4,2,High,Medium,1,75,39,52,61,56,53,5,64.0,50.67
M. Kaye,25,71,Canada,Los Angeles FC,73,CM,CM CDM,76,185.93,77.11,Left,5,3100000.0,0,60,84,1851,407,3,3,Medium,High,1,73,55,68,71,68,72,29,76.33,64.67
R. Scheu,25,67,Germany,SV Sandhausen,68,RM,RM CM ST,70,155.45,73.94,Right,3,950000.0,0,64,90,1759,387,4,3,High,High,1,78,55,59,65,55,75,5,81.0,59.67
D. Keita-Ruel,30,69,France,SV Sandhausen,69,ST,ST,69,185.93,78.93,Right,0,1000000.0,2,49,81,1731,369,4,3,High,High,1,68,70,49,64,35,83,5,77.33,61.0
T. Deters,24,55,Germany,VfB Lübeck,57,CM,CM,60,176.78,62.14,Right,5,110000.0,0,43,77,1498,322,2,2,Medium,Medium,1,66,37,52,56,50,61,3,68.0,48.33
M. Kleinsorge,24,66,Germany,1. FC Kaiserslautern,67,RM,RM,71,173.74,68.95,Right,5,850000.0,2,65,74,1639,351,3,3,High,Medium,1,82,59,57,70,28,55,5,70.33,62.0
B. Girth,28,66,Germany,Holstein Kiel,66,ST,ST,66,155.75,82.1,Right,0,675000.0,0,34,71,1527,320,3,3,Medium,Low,1,60,66,45,63,23,63,3,64.67,58.0
J. Balkovec,25,69,Slovenia,Fatih Karagümrük S.K.,69,LB,LB,71,185.93,73.94,Left,2,1100000.0,0,72,70,1840,386,3,2,High,Medium,1,71,51,64,65,65,70,10,70.33,60.0
N. Mitrović,27,67,Slovenia,Slovenia,68,CB,CB,68,195.07,88.0,Right,1,0.0,0,26,70,1455,316,3,2,Medium,Medium,1,58,30,42,41,64,81,32,69.67,37.67
M. Blažič,27,67,Slovenia,Slovenia,69,CB,CB,70,185.93,81.19,Right,3,0.0,0,28,59,1437,309,3,2,Medium,Medium,1,58,34,38,40,69,70,27,62.33,37.33
M. Schlegel,22,56,Germany,FC Carl Zeiss Jena,55,LM,LM,62,185.93,82.1,Left,6,120000.0,0,55,67,1441,315,3,2,Medium,Medium,1,64,45,51,57,39,59,4,63.33,51.0
M. Wolfram,23,65,Germany,FSV Zwickau,66,RM,RM LM CF,74,185.93,81.19,Right,9,825000.0,0,66,70,1706,365,3,3,Medium,Medium,1,72,62,63,67,36,65,15,69.0,64.0
D. Bock,24,63,Germany,FC Carl Zeiss Jena,64,RM,RM RB,65,182.88,78.02,Right,2,450000.0,0,62,71,1653,356,3,2,Medium,Medium,1,72,59,59,63,41,62,3,68.33,60.33
R. Harper,20,67,England,West Bromwich Albion,69,CM,CM CDM,79,188.98,76.2,Right,12,1300000.0,1,56,76,1823,386,3,3,Medium,Medium,1,68,53,65,68,60,72,68,72.0,62.0
M. Dombrowka,28,66,Germany,SpVgg Unterhaching,66,LB,LB RB CDM,66,155.75,77.11,Right,0,550000.0,0,61,81,1529,346,4,3,Medium,Medium,1,75,29,50,62,61,69,5,75.0,47.0
C. Greger,23,65,Germany,SpVgg Unterhaching,67,CB,CB,71,195.07,81.19,Left,6,675000.0,0,27,64,1366,295,3,2,Medium,Medium,1,54,28,36,39,65,73,6,63.67,34.33
O. Kiomourtzoglou,22,71,Germany,Heracles Almelo,73,CB,CDM CM,77,188.98,74.84,Right,6,3000000.0,2,37,81,1738,376,3,2,Medium,High,1,64,47,56,61,70,78,20,74.33,54.67
R. Laidlaw,27,61,Scotland,Ross County FC,61,GK,GK,64,204.22,84.82,Right,3,220000.0,0,11,19,888,322,2,1,Medium,Medium,1,63,59,56,59,24,61,7,47.67,58.0
N. Butzen,27,63,Germany,FC Hansa Rostock,68,RWB,CM RB RM,64,155.45,76.2,Right,1,425000.0,0,60,90,1786,388,4,2,High,High,1,79,52,59,66,61,71,5,80.0,59.0
M. Niemeyer,24,65,Germany,SV Wehen Wiesbaden,70,LM,LWB LB LM,70,155.45,71.21,Left,5,650000.0,0,66,73,1672,377,3,3,Medium,Medium,1,80,57,60,71,51,58,9,70.33,62.67
A. Laukart,21,63,Germany,Türkgücü München,65,CAM,CAM LM,73,182.88,73.94,Left,10,600000.0,0,53,56,1656,363,3,2,High,Medium,1,73,59,60,65,46,60,11,63.0,61.33
C. Beck,32,65,Germany,1. FC Magdeburg,65,ST,ST,65,198.12,88.0,Left,0,425000.0,0,35,72,1554,323,4,2,High,Medium,1,49,67,46,54,31,76,6,65.67,55.67
L. Daschner,21,66,Germany,FC St. Pauli,68,CAM,CAM LM RM,77,182.88,76.2,Right,11,1100000.0,2,53,70,1701,375,4,3,High,Low,1,73,61,62,68,48,63,22,68.67,63.67
T. Schwede,26,66,Germany,SV Wehen Wiesbaden,66,LM,LM LWB,67,182.88,73.03,Left,1,750000.0,0,69,90,1626,361,3,3,High,High,1,79,54,59,65,38,66,3,78.33,59.33
N. Awuku,20,58,Germany,Holstein Kiel,60,ST,RM ST,73,182.88,83.91,Right,15,275000.0,0,57,54,1428,321,3,2,Medium,Medium,1,70,55,46,63,24,63,6,62.33,54.67
M. Farrona Pulido,27,66,Germany,FC Hansa Rostock,66,LW,LW RW,66,179.83,69.85,Right,0,675000.0,1,50,69,1598,350,5,3,Medium,Low,1,87,58,54,72,27,52,4,69.33,61.33
F. Luckeneder,26,67,Austria,TSV Hartberg,69,CB,CB,70,192.02,73.03,Left,3,850000.0,1,29,66,1361,291,3,2,Medium,Medium,1,51,25,38,39,70,68,4,61.67,34.0
K. Boateng,23,65,Ghana,SV Ried,67,CB,CB RB,71,192.02,78.02,Right,6,675000.0,2,42,68,1509,332,3,2,Medium,Medium,1,68,41,41,45,64,73,6,69.67,42.33
M. Ullmann,24,73,Austria,SK Rapid Wien,73,LWB,LWB LM LB,77,155.75,64.86,Left,4,4600000.0,1,71,87,1891,401,4,2,Medium,Medium,1,83,59,64,69,65,61,17,77.0,64.0
R. Rep,30,69,Slovenia,Slovenia,69,CAM,CAM CM ST,69,155.45,72.12,Left,0,1000000.0,2,66,70,1870,399,4,3,Medium,Medium,1,72,69,69,68,60,61,4,67.67,68.67
I. Cameron,19,57,Scotland,Kilmarnock,60,ST,CF CAM,73,192.02,78.02,Right,16,220000.0,0,49,48,1564,338,3,2,Medium,Low,1,55,56,54,60,48,65,10,56.0,56.67
H. Mahou,19,64,France,OGC Nice,64,RW,RW,77,155.75,77.11,Right,13,850000.0,1,62,49,1570,339,3,3,Medium,Medium,1,66,63,60,67,33,50,5,55.0,63.33
Delmás,25,68,Spain,FC Cartagena,68,RB,RB,73,176.78,60.78,Right,5,1000000.0,2,68,76,1665,357,2,2,Medium,Medium,1,70,34,56,61,66,70,7,72.0,50.33
J. Homawoo,22,61,Togo,FC Nantes,63,CB,CB,68,192.02,83.91,Left,7,325000.0,2,45,32,1329,287,2,2,Medium,Medium,1,52,30,40,43,61,61,6,48.33,37.67
A. Perry,22,55,England,Wigan Athletic,56,CAM,CDM CB,65,179.83,74.84,Right,10,120000.0,0,37,64,1546,332,3,2,Medium,Medium,1,66,48,51,54,54,59,6,63.0,51.0
E. Dennis,22,76,Nigeria,Club Brugge KV,78,ST,ST RW LW,83,179.83,66.22,Right,7,11000000.0,1,65,78,1906,412,3,4,Medium,Low,1,92,73,62,78,38,69,160,79.67,71.0
D. Schmid,19,62,Switzerland,FC Lausanne-Sport,63,CM,CAM CM,79,155.75,69.85,Left,17,650000.0,0,49,70,1655,350,5,3,High,Medium,1,69,44,66,66,44,61,3,66.67,58.67
Junio,23,68,Brazil,Rio Ave FC,69,CB,RB,71,182.88,74.84,Right,3,1000000.0,2,65,60,1643,358,2,3,Medium,Medium,1,72,33,55,64,65,69,5,67.0,50.67
T. Bergmann,22,64,Germany,1. FC Kaiserslautern,66,CM,CDM CAM CM,71,155.75,74.84,Right,7,575000.0,0,69,80,1804,378,3,3,High,High,1,66,60,68,58,57,69,4,71.67,62.0
B. Wiles,21,64,England,Rotherham United,67,RM,CM,75,176.78,66.22,Right,11,775000.0,2,60,77,1794,384,3,3,High,Medium,1,71,55,63,66,60,69,9,72.33,61.33
I. Niane,21,70,Senegal,FC Metz,72,ST,ST LW RW,81,188.98,73.03,Right,11,3100000.0,3,56,58,1613,353,3,3,High,Low,1,81,70,54,70,18,60,99,66.33,64.67
A. Koita,21,66,Belgium,Waasland-Beveren,67,CAM,LM ST,74,179.83,73.03,Right,8,950000.0,2,64,56,1734,378,4,3,Medium,Low,1,85,65,61,68,36,63,10,68.0,64.67
R. Basque,25,65,France,Le Havre AC,67,CM,CDM CM,72,188.98,64.86,Left,7,675000.0,1,58,80,1795,384,4,2,Medium,Medium,1,70,55,64,65,61,69,7,73.0,61.33
Juan Alano,23,66,Brazil,Kashima Antlers,68,CAM,RM CAM ST,71,176.78,68.95,Right,5,850000.0,1,60,65,1711,362,3,3,Medium,Low,1,69,60,64,66,40,63,3,65.67,63.33
U. Bozok,23,70,France,FC Lorient,72,ST,ST,75,155.45,74.84,Right,5,2400000.0,1,58,71,1711,369,3,3,High,Medium,1,79,69,58,73,24,66,18,72.0,66.67
E. Kılınç,25,75,Turkey,Galatasaray SK,75,LM,LM RM,76,179.83,68.04,Left,1,8000000.0,3,72,75,1763,385,3,3,Medium,Medium,1,78,68,72,76,37,54,49,69.0,72.0
O. Azubuike,23,69,Nigeria,Medipol Başakşehir FK,70,CDM,CDM CM,78,173.74,73.03,Right,9,1500000.0,2,52,83,1717,375,3,2,Medium,High,1,69,43,61,63,68,71,13,74.33,55.67
S. Çiftpınar,27,68,Turkey,Fenerbahçe SK,70,CB,CB,70,155.75,78.02,Right,2,950000.0,1,32,65,1447,308,2,2,Low,High,1,58,25,43,44,71,67,10,63.33,37.33
J. Albert,28,61,France,Clermont Foot 63,63,CB,CB,63,185.93,86.18,Left,2,250000.0,0,23,58,1330,290,3,2,Low,High,1,56,26,37,40,61,70,4,61.33,34.33
F. Valverde,21,83,Uruguay,Real Madrid,84,CM,CM,90,182.88,78.02,Right,7,36000000.0,4,66,86,2173,474,3,3,High,High,1,86,74,78,79,77,80,887,84.0,77.0
C. Antwi-Adjej,26,72,Ghana,SC Paderborn 07,72,LM,LM CAM RM,73,176.78,72.12,Right,1,3700000.0,0,66,73,1669,368,3,3,Medium,Low,1,90,58,61,77,26,56,15,73.0,65.33
S. Aw,21,60,Senegal,Gil Vicente FC,60,LB,LB,71,176.78,64.86,Left,11,325000.0,2,59,68,1443,315,3,2,High,Medium,1,76,28,46,55,53,57,4,67.0,43.0
C. Martínez B,18,55,Costa Rica,KAS Eupen,54,RB,RB RWB CDM,68,179.83,63.05,Right,13,120000.0,0,63,40,1344,287,3,2,Medium,Medium,1,65,26,42,50,54,50,3,51.67,39.33
S. Schimmer,26,67,Germany,1. FC Heidenheim 1846,69,ST,ST,69,185.93,74.84,Right,2,925000.0,2,33,65,1585,337,4,2,Medium,Medium,1,64,68,41,62,29,73,3,67.33,57.0
E. Haaland,19,84,Norway,Borussia Dortmund,85,ST,ST,92,195.07,88.0,Left,8,45000000.0,3,46,78,2027,438,3,3,High,High,2,84,87,63,76,43,85,3800,82.33,75.33
P. Wiesinger,26,72,Austria,LASK Linz,74,CB,CB,75,155.75,73.94,Left,3,3400000.0,1,56,68,1753,375,3,2,Medium,Medium,1,67,47,58,60,73,70,3,68.33,55.0
J. Clauss,27,72,France,Racing Club de Lens,72,RW,RW RB,72,185.93,72.12,Right,0,3300000.0,2,69,79,1938,415,3,3,Medium,Medium,1,81,65,68,74,62,65,24,75.0,69.0
J. Schryvers,23,67,Belgium,Waasland-Beveren,69,RWB,CDM RB,72,155.75,73.03,Right,5,925000.0,1,66,74,1729,368,3,2,Medium,Medium,1,68,42,63,62,65,68,3,70.0,55.67
A. Karazor,23,70,Germany,VfB Stuttgart,72,CB,CB CDM CM,75,192.02,76.2,Right,5,2100000.0,2,39,77,1580,345,3,3,Medium,Medium,1,50,36,57,59,72,71,21,66.0,50.67
D. Srbeny,26,69,Germany,SC Paderborn 07,71,ST,ST,72,192.02,83.01,Right,3,1300000.0,1,49,66,1662,360,3,3,High,Medium,1,68,66,57,67,32,70,12,68.0,63.33
R. Schallenberg,21,62,Germany,SC Paderborn 07,64,CM,CM,73,185.93,76.2,Right,11,525000.0,0,46,78,1654,360,2,2,Medium,Medium,1,65,49,57,62,61,66,4,69.67,56.0
T. Brinkmann,24,59,Germany,SC Verl,59,GK,GK,65,201.17,93.89,Right,6,160000.0,0,11,28,869,319,2,1,Medium,Medium,1,60,62,61,57,23,56,5,48.0,60.0
L. Koutris,24,73,Greece,Olympiacos CFP,73,LB,LB LM,78,173.74,72.12,Left,5,4700000.0,0,77,79,1920,411,2,3,High,Medium,1,82,60,64,70,67,68,44,76.33,64.67
A. Bălută,25,74,Romania,SK Slavia Praha,74,RW,RW CAM ST,77,167.64,67.13,Right,3,7000000.0,1,69,70,1916,410,4,3,Medium,Low,1,87,69,68,77,42,67,4,74.67,71.33
F. Uzoho,19,69,Nigeria,Elche CF,68,GK,GK,83,198.12,91.17,Right,14,1900000.0,0,13,45,1006,373,3,1,Medium,Medium,1,65,70,71,70,28,69,6,59.67,70.33
H. Al Ghaddioui,29,69,Germany,VfB Stuttgart,69,ST,ST,69,195.07,89.81,Right,0,1100000.0,0,42,68,1571,341,3,2,Medium,Medium,1,54,71,50,61,29,76,8,66.0,60.67
E. Botheim,20,60,Norway,Stabæk Fotball,62,ST,ST,75,155.75,69.85,Right,15,450000.0,0,32,72,1443,311,3,3,Medium,Medium,1,65,61,40,60,26,59,5,65.33,53.67
A. Mayorga,23,68,Mexico,U.N.A.M.,69,LWB,LB,73,155.45,71.21,Left,5,1100000.0,0,60,71,1778,392,3,3,High,High,1,79,50,60,69,64,70,64,73.33,59.67
N. Fofana B,30,63,France,La Berrichonne de Châteauroux,63,RB,RB RWB,63,182.88,78.02,Right,0,300000.0,1,59,58,1513,330,3,2,Medium,Medium,1,69,27,51,55,62,66,3,64.33,44.33
N. Cozza,21,68,France,Montpellier HSC,70,CB,CB LWB,81,155.45,72.12,Left,13,1600000.0,1,66,73,1724,374,3,2,Medium,Medium,1,74,36,61,63,69,71,66,72.67,53.33
Mascarenhas,21,65,Brazil,Vitória Guimarães,65,LB,LB,74,155.75,78.02,Left,9,750000.0,0,65,60,1591,343,3,3,Medium,Medium,1,69,42,55,65,62,50,10,59.67,54.0
Jeong Woo Yeong,20,68,Korea Republic,SC Freiburg,69,RM,RM LM CAM,80,155.45,68.95,Right,12,1600000.0,2,65,64,1609,356,4,4,Medium,Medium,1,77,54,59,75,35,56,52,65.67,62.67
E. Massouema,23,64,France,ESTAC Troyes,67,CDM,CM CDM,73,182.88,71.21,Right,9,675000.0,1,49,71,1739,370,3,2,Medium,Medium,1,65,48,61,64,63,69,4,68.33,57.67
B. Kyere,25,60,Ghana,Viktoria Köln,62,CB,CB,66,188.98,88.9,Right,6,250000.0,0,48,55,1439,321,3,2,Medium,Medium,1,66,38,41,44,55,77,6,66.0,41.0
A. Riel,30,61,Denmark,Lyngby BK,61,ST,ST LW,61,182.88,73.03,Right,0,240000.0,0,46,59,1506,329,4,3,High,Medium,1,78,59,48,63,23,58,4,65.0,56.67
V. Hammershøy-Mistrati,28,66,Denmark,Randers FC,66,CM,CM,66,155.45,76.2,Right,0,650000.0,2,58,84,1822,386,3,3,High,Medium,1,66,60,64,68,59,69,3,73.0,64.0
M. Engl,22,59,Germany,Türkgücü München,59,GK,GK,71,188.98,76.2,Right,12,220000.0,0,29,23,1114,323,3,1,Medium,Medium,1,61,52,60,60,32,58,3,47.33,57.33
M. Rüdiger,25,60,Germany,VfB Lübeck,60,LM,LM LB,61,179.83,73.94,Left,1,250000.0,0,56,62,1534,328,3,2,Medium,Medium,1,73,51,56,59,33,56,7,63.67,55.33
J. Eskesen,21,62,Denmark,SønderjyskE,66,RM,CM RM,71,179.83,68.04,Right,9,475000.0,3,58,68,1647,356,3,3,Medium,High,1,69,50,60,67,54,56,3,64.33,59.0
M. Fritz,26,61,Germany,Viktoria Köln,63,CB,CB CM,64,195.07,83.91,Right,3,275000.0,0,32,72,1469,325,4,2,Medium,Medium,1,56,41,47,47,60,74,4,67.33,45.0
J. Aguilar,22,65,Panama,Estoril Praia,65,ST,LW,70,155.75,71.21,Left,5,725000.0,0,59,64,1675,349,2,3,Medium,Medium,1,73,65,56,69,25,61,3,66.0,63.33
D. Lovren,21,64,Croatia,Fortuna Düsseldorf,65,LM,LM,76,176.78,69.85,Left,12,800000.0,2,60,55,1488,322,3,3,Medium,Medium,1,75,54,56,69,25,43,11,57.67,59.67
S. Demhasaj,23,64,Kosovo,FC Luzern,65,ST,ST,71,192.02,78.02,Right,7,650000.0,0,32,54,1490,311,3,2,Medium,Medium,1,52,69,43,60,32,55,7,53.67,57.33
B. Igiehon,26,55,Switzerland,Finn Harps,57,ST,ST,58,188.98,83.01,Left,3,100000.0,0,30,61,1419,315,3,2,Medium,Low,1,67,53,44,50,29,72,3,66.67,49.0
A. Didic,23,59,Canada,Sporting Kansas City,58,CB,CB,68,195.07,88.0,Right,9,210000.0,0,22,64,1275,275,2,2,Low,High,1,51,25,35,36,58,70,3,61.67,32.0
M. Gómez,23,80,Uruguay,Valencia CF,82,ST,ST,85,185.93,83.91,Right,5,20000000.0,3,59,79,1917,404,3,3,High,Low,1,68,81,68,73,32,82,241,76.33,74.0
D. Newton,29,61,England,Stevenage,61,ST,ST,61,155.45,74.84,Left,0,250000.0,0,35,69,1567,339,4,3,High,High,1,75,60,42,62,28,72,3,72.0,54.67
F. Eboa Eboa,23,67,Cameroon,En Avant de Guingamp,69,CB,CB,71,185.93,79.83,Right,4,900000.0,2,49,70,1635,345,2,2,Low,Medium,1,53,44,53,54,66,75,8,66.0,50.33
B. Moussiti-Oko,25,64,Congo,AC Ajaccio,66,ST,ST,68,182.88,88.9,Right,4,600000.0,2,27,72,1461,321,2,2,High,Low,1,58,64,39,58,26,76,5,68.67,53.67
Carlitos,30,72,Spain,Panathinaikos FC,74,ST,ST CF CAM,72,179.83,69.85,Right,0,3000000.0,2,63,71,1885,393,2,4,High,Medium,1,81,73,68,76,26,69,18,73.67,72.33
K. Nwakali,22,63,Nigeria,SD Huesca,68,CAM,CM,74,155.75,76.2,Right,11,625000.0,1,54,57,1689,362,3,3,Medium,Medium,1,70,62,60,72,42,56,12,61.0,64.67
T. Magloire,21,56,England,Blackburn Rovers,58,CB,CB RB,71,185.93,73.03,Right,15,190000.0,1,30,60,1309,308,2,2,Medium,Medium,1,89,26,31,40,55,67,57,72.0,32.33
J. Grayson,21,58,England,Blackburn Rovers,60,CDM,CB CDM,73,188.98,73.94,Left,15,250000.0,0,30,58,1549,339,2,2,Medium,High,1,67,39,53,58,55,67,6,64.0,50.0
S. Mols,21,58,Spain,Blackburn Rovers,60,CAM,RW CAM,70,155.75,74.84,Right,12,230000.0,0,54,53,1510,327,4,3,High,Medium,1,67,47,58,63,38,54,4,58.0,56.0
A. Benchaib,22,65,Belgium,Sporting de Charleroi,67,CAM,CAM LM,72,155.75,71.21,Right,7,750000.0,2,55,59,1684,358,4,3,High,Medium,1,76,60,61,69,35,57,6,64.0,63.33
J. Torres,20,60,United States,New York City FC,61,CDM,CDM,73,176.78,71.21,Right,13,375000.0,2,47,58,1607,329,3,2,Medium,High,1,62,38,57,59,60,53,4,57.67,51.33
Cucurella,21,81,Spain,Getafe CF,82,LM,LM LB,89,176.78,66.22,Left,8,26500000.0,2,80,88,2107,453,3,3,High,Medium,1,81,67,78,80,73,74,959,81.0,75.0
Dani Morer,22,65,Spain,Famalicão,65,RB,RB,76,173.74,63.05,Right,11,850000.0,4,61,68,1705,365,3,2,High,Medium,1,75,48,60,63,58,61,19,68.0,57.0
Oriol Busquets,21,67,Spain,FC Barcelona,68,CDM,CDM CB,78,185.93,77.11,Right,11,1200000.0,0,56,71,1634,351,3,3,Medium,Medium,1,50,43,63,64,64,67,97,62.67,56.67
Abel Ruiz,20,69,Spain,SC Braga,71,ST,ST LW,83,182.88,73.03,Right,14,2300000.0,4,36,66,1661,366,3,4,Medium,Medium,1,71,69,54,70,37,65,86,67.33,64.33
B. Özer,18,61,Turkey,Fenerbahçe SK,60,GK,GK,78,192.02,73.03,Right,17,425000.0,2,15,28,963,319,3,1,Medium,Medium,1,58,70,57,66,19,49,5,45.0,64.33
E. Banda,22,62,Zambia,Djurgårdens IF,64,CAM,CAM CM,69,155.45,73.03,Left,7,425000.0,1,64,58,1738,357,3,3,High,Medium,1,67,59,63,64,47,57,4,60.67,62.0
R. Bushiri,20,65,Belgium,KV Mechelen,67,CB,CB,76,188.98,91.17,Right,11,850000.0,0,24,64,1393,311,3,2,Medium,Medium,1,65,26,37,42,63,78,12,69.0,35.0
A. Pululu,21,64,Angola,FC Basel 1893,65,ST,LM ST,78,179.83,79.83,Left,14,1000000.0,1,47,68,1599,354,3,3,High,Medium,1,82,60,52,70,26,64,26,71.33,60.67
N. Manzambi,23,64,Switzerland,Real Sporting de Gijón,66,ST,ST,73,155.45,83.01,Right,9,700000.0,1,41,55,1551,341,3,3,High,Medium,1,76,62,49,65,24,65,5,65.33,58.67
L. Ndenbe,20,65,Belgium,En Avant de Guingamp,65,LB,LB LWB LM,77,176.78,72.12,Left,12,875000.0,2,61,71,1630,352,3,2,Medium,Medium,1,74,28,57,66,61,66,14,70.33,50.33
V. Barkas,26,75,Greece,Celtic,75,GK,GK,78,198.12,91.17,Left,3,6000000.0,3,14,39,1170,406,2,1,Medium,Medium,1,71,75,74,75,34,77,34,62.33,74.67
L. Martínez,22,78,Argentina,Ajax,79,CDM,CDM CB LB,85,179.83,69.85,Left,7,13500000.0,2,70,82,2036,431,3,3,Medium,High,2,69,58,72,75,78,79,498,76.67,68.33
Y. Njie,26,69,Gambia,Boavista FC,70,ST,ST,70,188.98,72.12,Right,1,1300000.0,0,54,70,1699,375,3,3,Medium,Medium,1,76,66,55,70,39,69,8,71.67,63.67
Madger Gomes,23,62,Spain,Doncaster Rovers,65,CAM,CM,68,155.75,73.94,Left,6,400000.0,0,46,68,1706,373,3,2,High,High,1,77,58,58,65,56,59,4,68.0,60.33
J. Bataille,21,69,Belgium,KV Oostende,70,RM,RB RWB RW,77,179.83,67.13,Right,8,1400000.0,1,73,70,1819,391,3,3,High,Medium,1,75,52,65,72,63,64,16,69.67,63.0
